consola,genero,lanzamiento,titulo,upc
PCS,Rol/Estrategia/Destreza,22/11/2004,WORLD OF WARCRAFT,020626722124-0-00000-0
WII,Rol/Estrategia/Destreza,NO CONFIRMADO,YUGIOH 5DS DUEL TRANSER,083717400998-0-00000-0
PCS,Disparos,12/10/2010,MEDAL OF HONOR,014633153590-0-00000-0
WII,Rol/Estrategia/Destreza,NO CONFIRMADO,SESAME STREET ELMO'S A TO ZOO,883929139620-0-00000-1
WII,Rol/Estrategia/Destreza,10/12/2010,SESAME STREET COOKIES CARNIVAL,883929139637-0-00000-0
NDS,Rol/Estrategia/Destreza,10/12/2010,SESAME STREET COOKIES CARNIVAL,883929139972-0-00000-0
NDS,Aventura,10/12/2010,SESAME STREET ELMO'S A TO ZOO,883929140008-0-00000-0
360,Deportes,10/12/2010,GAME PARTY IN MOTION,883929144709-0-00000-0
PCS,Deportes,10/12/2010,PRO EVOLUTION SOCCER 2011,821362002611-0-00000-0
PCS,Accion,10/12/2010,HARRY POTTER AND THE DEATHLY HALLOWS PART 1,014633157901-0-00000-0
PCS,Simulacion,10/12/2010,SIMS 3 LATE NIGHT,014633191509-0-00000-0
PCS,Simulacion,10/12/2010,THE SIMS 3 DELUXE,014633169324-0-00000-0
PSP,Vehiculos,05/12/2010,SPLIT SECOND,7509656070021-0-00000-0
NDS,Aventura,05/12/2010,WIZARDS OF WAVERLY PLACE SPELLBOUND,7509656070014-0-00000-0
WII,Aventura,NO CONFIRMADO,TANGLED,712725018603-0-00000-0
NDS,Aventura,06/12/2010,TANGLED,712725018580-0-00000-0
360,Accion,03/12/2010,RED DEAD REDEMPTION: UNDEAD NIGHTMARE COLLECTION,710425399329-0-00000-0
PS3,Accion,NO CONFIRMADO,RED DEAD REDEMPTION: UNDEAD NIGHTMARE COLLECTION,710425379338-0-00000-0
WII,Aventura,01/01/2006,HELLO KITTY SEASONS,802068103200-0-00000-0
PS3,Peleas,NO CONFIRMADO,THE FIGHT LIGHTS OUT MOVE,711719825524-0-00000-0
PS3,Accion,NO CONFIRMADO,SPLATTERHOUSE,722674110204-0-00000-0
360,Accion,03/12/2010,SPLATTERHOUSE,722674210232-0-00000-0
360,Accion,03/12/2010,MAJIN &amp; THE FORSAKEN KINGDOM,722674210324-0-00000-0
PS3,Accion,03/12/2010,MAJIN &amp; THE FORSAKEN KINGDOM,722674110297-0-00000-0
PS3,Deportes,03/12/2010,EA SPORTS ACTIVE 2 BUNDLE,014633194746-0-00000-0
WII,Deportes,03/12/2010,ACTIVE NFL TRAINING CAMP,014633169157-0-00000-0
WII,Simulacion,03/11/2010,ZHU ZHU PETS WILD BUNCH,047875764385-0-00000-0
PS2,Disparos,03/11/2010,DEVIL MAY CRY 5TH ANNIVERSARY BUNDLE,013388260676-0-00000-0
PS3,Disparos,03/11/2010,CALL OF DUTY: MODERN WARFARE COLLECTION,047875841079-0-00000-0
PSP,Rol/Estrategia/Destreza,28/11/2010,INVIZIMALS,711719874621-0-00000-0
PS3,Disparos,NO CONFIRMADO,THE SHOOT,711719822226-0-00000-0
WII,Musical,25/11/2010,KARAOKE REVOLUTION GLEE BUNDLE,083717251200-0-00000-0
WII,Rol/Estrategia/Destreza,NO CONFIRMADO,UDRAW STUDIO   UDRAW TABLE,785138304168-0-00000-0
NDS,Rol/Estrategia/Destreza,28/11/2010,GOLDEN SUN: DARK DAWN,045496741099-0-00000-0
360,Deportes,NO CONFIRMADO,DECA SPORTS FREEDOM,083717301141-0-00000-0
WII,Aventura,NO CONFIRMADO,PAC MAN PARTY,722674800266-0-00000-0
WII,Aventura,20/11/2010,SONIC COLORS,010086650426-0-00000-0
NDS,Aventura,20/11/2010,SONIC COLORS,010086670370-0-00000-0
360,Musical,NO CONFIRMADO,DANCE CENTRAL,885370287998-0-00000-0
PS3,Peleas,14/02/2011,MARVEL VS CAPCOM 3 FATE OF TWO WORLDS SPECIAL EDITION,013388340378-0-00000-0
360,Peleas,14/02/2011,MARVEL VS CAPCOM 3 FATE OF TWO WORLDS SPECIAL EDITION,013388330362-0-00000-0
360,Deportes,NO CONFIRMADO,ZUMBA FITNESS KINECT,096427016892-0-00000-0
WII,Rol/Estrategia/Destreza,NO CONFIRMADO,CREATE,014633194302-0-00000-0
PS3,Rol/Estrategia/Destreza,23/11/2010,CREATE,014633194296-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,CREATE,014633194319-0-00000-0
WII,Deportes,20/11/2010,EA SPORTS ACTIVE 2,014633190090-0-00000-0
WII,Simulacion,26/10/2010,THE SIMS 3,014633194401-0-00000-0
PS3,Deportes,NO CONFIRMADO,NBA JAM,014633195750-0-00000-0
360,Deportes,NO CONFIRMADO,NBA JAM,014633195767-0-00000-0
WII,Aventura,NO CONFIRMADO,ICARLY 2 JOIN THE CLICK!,047875764514-0-00000-0
NDS,Aventura,23/11/2010,ICARLY 2 JOIN THE CLICK!,047875764538-0-00000-0
PSP,Musical,23/11/2010,MICHAEL JACKSON: THE EXPERIENCE,008888336297-0-00000-0
NDS,Musical,23/11/2010,MICHAEL JACKSON: THE EXPERIENCE,008888166290-0-00000-0
WII,Musical,23/11/2010,MICHAEL JACKSON: THE EXPERIENCE,008888176299-0-00000-0
WII,Aventura,21/11/2010,RAVING RABBIDS TRAVEL IN TIME,008888176053-0-00000-0
NDS,Aventura,20/11/2010,NARUTO SHIPPUDEN NARUTO VS SASUKE,730865400386-0-00000-0
WII,Aventura,NO CONFIRMADO,NARUTO SHIPPUDEN DRAGON BLADE CHRONICLES,730865700097-0-00000-0
WII,Musical,23/11/2010,DANCE DANCE REVOLUTION 3 BUNDLE,083717251187-0-00000-0
PS3,Musical,NO CONFIRMADO,DANCE DANCE REVOLUTION,083717251194-0-00000-0
WII,Aventura,NO CONFIRMADO,SUPER MARIO ALL STARS,045496902148-1-00000-0
PS3,Accion,NO CONFIRMADO,HARRY POTTER AND THE DEATHLY HALLOWS PART 1,014633158144-0-00000-0
360,Accion,NO CONFIRMADO,HARRY POTTER AND THE DEATHLY HALLOWS PART 1,014633158496-0-00000-0
WII,Accion,16/11/2010,HARRY POTTER AND THE DEATHLY HALLOWS PART 1,014633158311-0-00000-0
NDS,Accion,16/11/2010,HARRY POTTER AND THE DEATHLY HALLOWS PART 1,014633194555-0-00000-0
WII,Disparos,NO CONFIRMADO,GHOST RECON PREDATOR,008888176077-0-00000-0
PSP,Disparos,25/05/2011,GHOST RECON PREDATOR,008888336075-0-00000-0
WII,Deportes,01/01/2006,NICKELODEON FIT,710425348396-0-00000-0
WII,Rol/Estrategia/Destreza,NO CONFIRMADO,BEYBLADE METAL FUSION,083717401117-0-00000-0
NDS,Rol/Estrategia/Destreza,09/11/2010,BEYBLADE METAL FUSION,083717241713-0-00000-0
360,Musical,NO CONFIRMADO,DANCE MASTERS KINECT,083717300977-0-00000-0
360,Deportes,04/11/2010,ADRENALIN MISFITS KINECT,083717300984-0-00000-0
PCS,Rol/Estrategia/Destreza,07/12/2010,WORLD OF WARCRAFT CATACLYSM COLLECTORS,020626728485-0-00000-0
WII,Aventura,16/11/2010,FLING SMASH CON REMOTE PLUS,045496902018-0-00000-0
NDS,Rol/Estrategia/Destreza,14/11/2010,MARIO VS DONKEY KONG: MINI-LAND MAYHEM,045496741112-0-00000-0
WII,Vehiculos,14/11/2010,MYSIMS &amp; MYSIMS RACING BUNDLE,014633169287-0-00000-0
WII,Musical,13/11/2010,HASBRO FAMILY GAME NIGHT 1&amp;2 BUNDLE,014633195422-0-00000-0
WII,Disparos,09/11/2010,CALL OF DUTY BLACK OPS,047875840058-0-00000-0
NDS,Disparos,09/11/2010,CALL OF DUTY BLACK OPS,047875840065-0-00000-0
360,Aventura,NO CONFIRMADO,SONIC FREE RIDERS,010086680492-0-00000-0
PS3,Peleas,NO CONFIRMADO,DRAGON BALL Z RAGING BLAST 2,722674110334-0-00000-0
360,Peleas,NO CONFIRMADO,DRAGON BALL Z RAGING BLAST 2,722674210362-0-00000-0
PS2,Deportes,19/11/2010,PRO EVOLUTION SOCCER 2011,083717202073-0-00000-0
360,Deportes,NO CONFIRMADO,MOTION SPORTS,008888526360-0-00000-0
360,Peleas,NO CONFIRMADO,FIGHTERS UNCAGED,008888526575-0-00000-0
360,Deportes,NO CONFIRMADO,YOUR SHAPE FITNESS EVOLVED,008888526308-0-00000-0
PSP,Rol/Estrategia/Destreza,09/02/2010,YU-GI-OH 5DS TAG FORCE 5,083717260622-0-00000-0
PS3,Accion,30/10/2010,GRAND THEFT AUTO IV COMPLETE BUNDLE,7506127512165-0-00000-0
360,Accion,30/10/2010,GRAND THEFT AUTO IV COMPLETE BUNDLE,7506127512158-0-00000-0
PS3,Accion,NO CONFIRMADO,GRAND THEFT AUTO IV COMPLETE,710425378720-1-00000-1
360,Accion,NO CONFIRMADO,GRAND THEFT AUTO IV COMPLETE,710425398711-0-00000-0
WII,Disparos,NO CONFIRMADO,GOLDEN EYE 007,047875837218-0-00000-0
NDS,Disparos,02/11/2010,GOLDEN EYE 007,047875837171-0-00000-0
PS3,Disparos,NO CONFIRMADO,JAMES BOND 007: BLOOD STONE,047875837157-0-00000-0
NDS,Disparos,29/10/2010,JAMES BOND 007: BLOOD STONE,047875837270-0-00000-0
360,Disparos,29/10/2010,JAMES BOND 007: BLOOD STONE,047875837195-0-00000-0
PS3,Vehiculos,30/10/2010,BLOOD DRIVE,047875764576-0-00000-0
360,Vehiculos,30/10/2010,BLOOD DRIVE,047875764552-0-00000-0
NDS,Aventura,31/10/2010,GO DIEGO GO! MEGA BLOKS BUILD AND RESCUE,710425358418-0-00000-0
WII,Aventura,30/10/2010,DORA THE EXPLORER: BIG BIRTHDAY ADVENTURE,710425348310-0-00000-0
NDS,Simulacion,30/10/2010,DORA THE EXPLORER: DORA'S COOKING CLUB,710425358371-0-00000-0
WII,Deportes,30/10/2010,DECA SPORTS 3,083717401056-0-00000-0
WII,Rol/Estrategia/Destreza,10/10/2010,MONOPOLY STREETS,014633194692-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,MONOPOLY STREETS,014633194685-0-00000-0
NDS,Rol/Estrategia/Destreza,NO CONFIRMADO,MONOPOLY DS,014633194678-0-00000-0
WII,Musical,30/10/2010,HASBRO FAMILY GAME NIGHT 3,014633194807-0-00000-0
360,Musical,30/10/2010,HASBRO FAMILY GAME NIGHT 3,014633194814-0-00000-0
360,Rol/Estrategia/Destreza,30/10/2010,DRAGON AGE ORIGINS ULTIMATE EDITION,014633195255-0-00000-0
PS3,Rol/Estrategia/Destreza,30/10/2010,DRAGON AGE ORIGINS ULTIMATE EDITION,014633195248-0-00000-0
WII,Aventura,27/10/2010,POKEPARK WII PIKACHU'S ADVENTURE,045496901950-0-00000-0
360,Disparos,25/01/2011,DEAD SPACE 2,014633158892-0-00000-0
PS3,Disparos,NO CONFIRMADO,DEAD SPACE 2,014633158885-0-00000-0
WII,Musical,26/10/2010,ROCK BAND 3 SOFTWARE,014633195200-0-00000-0
PS3,Musical,NO CONFIRMADO,ROCK BAND 3 SOFTWARE,014633195194-0-00000-0
NDS,Musical,26/10/2010,ROCK BAND 3 SOFTWARE,014633195224-0-00000-0
360,Musical,NO CONFIRMADO,ROCK BAND 3 SOFTWARE,014633195217-0-00000-0
PS3,Simulacion,NO CONFIRMADO,THE SIMS 3,014633194241-0-00000-0
360,Simulacion,26/10/2010,THE SIMS 3,014633194258-0-00000-0
NDS,Simulacion,26/10/2010,THE SIMS 3,014633153453-0-00000-0
WII,Disparos,08/07/2010,NERF N-STRIKE D BLAST BUNDLE,014633169089-0-00000-0
PSP,Deportes,24/10/2010,WWE SMACKDOWN VS RAW 2011,752919481578-0-00000-0
WII,Deportes,NO CONFIRMADO,WWE SMACKDOWN VS RAW 2011,785138303550-0-00000-0
PS3,Deportes,NO CONFIRMADO,WWE SMACKDOWN VS RAW 2011,752919992050-0-00000-0
360,Deportes,NO CONFIRMADO,WWE SMACKDOWN VS RAW 2011,752919552254-0-00000-0
PS3,Accion,NO CONFIRMADO,STAR WARS THE FORCE UNLEASHED 2,023272341381-0-00000-0
NDS,Accion,28/10/2010,STAR WARS THE FORCE UNLEASHED 2,023272341619-0-00000-0
WII,Accion,NO CONFIRMADO,STAR WARS THE FORCE UNLEASHED 2,023272341633-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,FABLE 3,885370164251-0-00000-0
WII,Simulacion,NO CONFIRMADO,CSI FATAL CONSPIRACY,008888176008-0-00000-0
PS3,Simulacion,22/10/2010,CSI FATAL CONSPIRACY,008888346005-0-00000-0
360,Simulacion,22/10/2010,CSI FATAL CONSPIRACY,008888526001-0-00000-0
WII,Deportes,22/10/2010,SHAUN WHITE SKATEBOARDING,008888176275-0-00000-0
WII,Deportes,NO CONFIRMADO,NBA 2K11,710425348518-0-00000-0
WII,Deportes,22/10/2010,TONY HAWK SHRED BUNDLE,047875839281-0-00000-0
PS3,Accion,23/10/2010,SAW II FLESH AND BLOOD,083717202158-0-00000-0
360,Accion,23/10/2010,SAW II: FLESH &amp; BLOOD,083717301127-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,FALLOUT NEW VEGAS,093155129092-0-00000-0
360,Rol/Estrategia/Destreza,NO CONFIRMADO,FALLOUT NEW VEGAS,093155129085-0-00000-0
PS3,Disparos,22/10/2010,VANQUISH,010086690422-0-00000-0
360,Disparos,22/10/2010,VANQUISH,010086680454-0-00000-0
360,Aventura,24/10/2010,BEN 10 ULTIMATE ALIEN COSMIC DESTRUCTION,879278210097-0-00000-0
360,Peleas,NO CONFIRMADO,NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 2,722674210379-0-00000-0
PS3,Peleas,NO CONFIRMADO,MORTAL KOMBAT,883929189366-0-00000-0
360,Peleas,NO CONFIRMADO,MORTAL KOMBAT,883929189359-0-00000-0
PS3,Peleas,NO CONFIRMADO,MARVEL VS CAPCOM 3 FATE OF TWO WORLDS,013388340514-0-00000-0
360,Peleas,NO CONFIRMADO,MARVEL VS CAPCOM 3 FATE OF TWO WORLDS,013388330515-0-00000-0
PS3,Disparos,NO CONFIRMADO,CRYSIS 2,014633192063-0-00000-0
360,Disparos,NO CONFIRMADO,CRYSIS 2,014633192070-0-00000-0
360,Rol/Estrategia/Destreza,08/03/2011,DRAGON AGE 2 SIGNATURE EDITION,014633195293-0-00000-0
PS3,Rol/Estrategia/Destreza,NO CONFIRMADO,DRAGON AGE 2 SIGNATURE EDITION,014633195286-0-00000-0
360,Disparos,25/01/2011,DEAD SPACE 2 COLLECTOR'S EDITION,014633169447-0-00000-0
PS3,Disparos,25/01/2011,DEAD SPACE 2 COLLECTOR'S EDITION,014633169454-0-00000-0
PS3,Aventura,22/10/2010,TOY STORY 3   PELICULA DVD Y PELCULA BLU RAY,7509656302160-0-00000-0
360,Aventura,22/10/2010,TOY STORY 3   PELICULA DVD Y PELCULA BLU RAY,7509656302153-0-00000-0
WII,Musical,26/10/2010,DJ HERO 2 TURNTABLE BUNDLE,047875961821-0-00000-0
PS3,Musical,26/10/2010,DJ HERO 2 TURNTABLE BUNDLE,047875961661-0-00000-0
360,Musical,26/10/2010,DJ HERO 2 TURNTABLE BUN,047875961746-0-00000-0
WII,Musical,NO CONFIRMADO,DJ HERO 2 SOFTWARE,047875961807-0-00000-0
PS3,Musical,NO CONFIRMADO,DJ HERO 2 SOFTWARE,047875961647-0-00000-0
360,Musical,NO CONFIRMADO,DJ HERO 2 SOFTWARE,047875961722-0-00000-0
WII,Vehiculos,NO CONFIRMADO,CARS TOON MATERS TALL TALES,712725018665-0-00000-0
PS3,Disparos,NO CONFIRMADO,TIME CRISIS: RAZING STORM,722674110358-0-00000-0
PS3,Peleas,NO CONFIRMADO,NARUTO SHIPPUDEN: ULTIMATE NINJA STORM 2,722674110341-0-00000-0
WII,Deportes,24/10/2010,ACTIVE LIFE EXPLORER,722674800242-0-00000-0
PSP,Peleas,24/10/2010,DRAGON BALL Z TENKAICHI TAG TEAM,7222674150385-0-00000-0
WII,Musical,22/10/2010,HASBRO FAMILY GAME NIGHT 2,014633192094-0-00000-0
NDS,Rol/Estrategia/Destreza,22/10/2010,SUPER SCRIBBLENAUTS,883929166763-0-00000-0
WII,Aventura,22/10/2010,BAKUGAN: DEFENDERS OF THE CORE,047875764941-0-00000-0
NDS,Aventura,22/10/2010,BAKUGAN: DEFENDERS OF THE CORE,047875764989-0-00000-0
PSP,Aventura,22/10/2010,BAKUGAN: DEFENDERS OF THE CORE,047875764965-0-00000-0
PS3,Aventura,22/10/2010,BAKUGAN: DEFENDERS OF THE CORE,047875764927-0-00000-0
360,Rol/Estrategia/Destreza,22/10/2010,BAKUGAN DEFENDERS OF THE CORE,047875764903-0-00000-0
WII,Musical,22/10/2010,SING IT PARTY HITS,712725019709-0-00000-0
PS3,Musical,01/01/2006,SING IT PARTY HITS BUNDLE,712725019747-0-00000-0
WII,Aventura,03/12/2010,EPIC MICKEY COLLECTOR'S EDITION,712725020439-0-00000-0
WII,Musical,22/10/2010,JUST DANCE,008888175803-0-00000-0
WII,Deportes,22/10/2010,TONY HAWK SHRED,047875840508-0-00000-0
PS3,Deportes,22/10/2010,TONY HAWK SHRED,047875840461-0-00000-0
360,Deportes,22/10/2010,TONY HAWK SHRED,047875840485-0-00000-0
WII,Accion,23/10/2010,SENGOKU BASARA SAMURAI HEROES,013388350193-0-00000-0
PS3,Accion,23/10/2010,SENGOKU BASARA SAMURAI HEROES,013388340323-0-00000-0
WII,Simulacion,NO CONFIRMADO,ZHU ZHU PETS 2 FEATURING THE WILD BUNCH GIFT,047875764781-0-00000-0
NDS,Simulacion,15/10/2010,ZHU ZHU PETS 2 FEATURING THE WILD BUNCH GIFT,047875764804-0-00000-0
NDS,Simulacion,15/10/2010,ZHU ZHU PETS 2 FEATURING THE WILD BUNCH,047875764408-0-00000-0
WII,Musical,03/01/2012,JUST DANCE 2,008888176060-0-00000-0
WII,Aventura,NO CONFIRMADO,DONKEY KONG COUNTRY RETURNS,045496902001-0-00000-0
PS3,Deportes,NO CONFIRMADO,NBA 2K11,710425378508-0-00000-0
360,Deportes,NO CONFIRMADO,NBA 2K11,710425398490-0-00000-0
WII,Accion,03/10/2010,MONSTER HUNTER TRI BUNDLE,013388350223-0-00000-0
NDS,Rol/Estrategia/Destreza,03/10/2010,FINAL FANTASY: THE 4 HEROES OF LIGHT,662248910178-0-00000-0
WII,Aventura,NO CONFIRMADO,KIRBY'S EPIC YARN,045496901998-0-00000-0
WII,Aventura,05/10/2010,BEN 10 ULTIMATE ALIEN COSMIC DESTRUCTION,879278340152-0-00000-0
PSP,Aventura,05/10/2010,BEN 10 ULTIMATE ALIEN COSMIC DESTRUCTION,879278110151-0-00000-0
PS3,Aventura,05/10/2010,BEN 10 ULTIMATE ALIEN COSMIC DESTRUCTION,879278130043-0-00000-0
PS2,Aventura,01/01/2006,BEN 10 ULTIMATE ALIEN COSMIC DESTRUCTION,879278120129-0-00000-0
NDS,Aventura,05/10/2010,BEN 10 ULTIMATE ALIEN COSMIC DESTRUCTION,879278320222-0-00000-0
WII,Disparos,02/11/2010,GOLDEN EYE 007 COLLECTORS EDITION,047875840386-0-00000-0
PSP,Accion,11/11/2010,GOD OF WAR: GHOST OF SPARTA,711719873723-0-00000-0
WII,Musical,NO CONFIRMADO,OOPS PRANK PARTY!,083717401049-0-00000-0
WII,Musical,03/10/2010,DEF JAM RAPSTAR BUNDLE,083717251170-0-00000-0
PS3,Musical,NO CONFIRMADO,DEF JAM RAPSTAR BUNDLE,083717251156-0-00000-0
360,Musical,NO CONFIRMADO,DEF JAM RAPSTAR BUNDLE,083717251163-0-00000-0
WII,Deportes,29/09/2010,NBA JAM,014633158298-0-00000-0
NDS,Simulacion,02/10/2010,LITTLEST PET SHOP 3: BIGGEST STARS - PINK TEAM,014633194494-0-00000-0
NDS,Simulacion,02/10/2010,LITTLEST PET SHOP 3: BIGGEST STARS - PURPLE TEAM,014633194524-0-00000-0
NDS,Simulacion,02/10/2010,LITTLEST PET SHOP 3: BIGGEST STARS BLUE TEAM,014633194517-0-00000-0
NDS,Aventura,03/10/2010,TINKERBELL THE GREAT FAIRY RESCUE,712725019655-0-00000-0
WII,Aventura,NO CONFIRMADO,CLUB PENGUIN GAME DAY,712725017088-0-00000-0
NDS,Aventura,01/10/2010,POKEMON RANGER GUARDIAN SIGNS,045496741051-0-00000-0
WII,Musical,28/09/2010,GUITAR HERO WARRIORS OF ROCK GUITAR BUNDLE,047875961586-0-00000-0
PS3,Musical,28/09/2010,GUITAR HERO WARRIORS OF ROCK GUITAR BUNDLE,047875961425-0-00000-0
360,Musical,28/09/2010,GUITAR HERO WARRIORS OF ROCK GUITAR BUNDLE,047875961500-0-00000-0
WII,Rol/Estrategia/Destreza,30/09/2010,SID MEIER'S PIRATES!,710425348693-0-00000-0
PS3,Disparos,30/09/2010,FRONT MISSION EVOLVED,662248909134-0-00000-0
360,Disparos,NO CONFIRMADO,FRONT MISSION EVOLVED,662248909127-0-00000-0
PSP,Rol/Estrategia/Destreza,30/09/2010,PHANTASY STAR PORTABLE 2,010086660326-0-00000-0
WII,Aventura,NO CONFIRMADO,THE LORD OF THE RINGS ARAGORN'S QUEST,883929085972-0-00000-0
PSP,Aventura,29/09/2010,THE LORD OF THE RINGS ARAGORN'S QUEST,883929085989-0-00000-0
NDS,Aventura,29/09/2010,THE LORD OF THE RINGS ARAGORN'S QUEST,883927085996-0-00000-0
PS3,Aventura,29/09/2010,THE LORD OF THE RINGS ARAGORN'S QUEST,883929136346-0-00000-0
NDS,Aventura,10/09/2010,BATMAN THE BRAVE AND THE BOLD - LONCHERA EXCLUSIVA,7509036436614-0-00000-0
WII,Musical,28/09/2010,GUITAR HERO WARRIORS OF ROCK SUPERBUNDLE,047875961609-0-00000-0
PS3,Aventura,NO CONFIRMADO,MY SIMS SKYHEROES,014633194173-0-00000-0
NDS,Aventura,29/09/2010,MY SIMS SKYHEROES,014633194081-0-00000-0
360,Aventura,NO CONFIRMADO,MY SIMS SKYHEROES,014633194180-0-00000-0
NDS,Aventura,29/09/2010,PHINEAS &amp; FERB RIDE AGAIN,712725018771-0-00000-0
WII,Musical,NO CONFIRMADO,GUITAR HERO WARRIORS OF ROCK SOFTWARE,047875961562-0-00000-0
PS3,Musical,NO CONFIRMADO,GUITAR HERO WARRIORS OF ROCK SOFTWARE,047875961401-0-00000-0
360,Musical,NO CONFIRMADO,GUITAR HERO WARRIORS OF ROCK,047875961487-0-00000-0
WII,Accion,10/09/2010,BATMAN THE BRAVE AND THE BOLD - LONCHERA EXCLUSIVA,7509036436607-0-00000-0
NDS,Deportes,30/09/2010,FIFA SOCCER 11,014633194913-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,GRAN TURISMO 5,711719811428-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,GRAN TURISMO 5 COLLECTOR'S EDITION,711719827528-0-00000-0
WII,Musical,NO CONFIRMADO,WII PARTY,045496901974-0-00000-0
WII,Aventura,NO CONFIRMADO,SCOOBY DOO &amp; THE SPOOKY SWAMP,883929151080-0-00000-0
NDS,Aventura,25/09/2010,SCOOBY DOO &amp; THE SPOOKY SWAMP,883929151103-0-00000-0
360,Aventura,NO CONFIRMADO,THE LEGEND OF THE GUARDIANS: THE OWLS OF GA'HOOLE,883929139408-0-00000-0
WII,Aventura,25/09/2010,THE LEGEND OF THE GUARDIANS: THE OWLS OF GA'HOOLE,883929139552-0-00000-0
NDS,Aventura,25/09/2010,THE LEGEND OF THE GUARDIANS: THE OWLS OF GA'HOOLE,883929139583-0-00000-0
PS3,Aventura,NO CONFIRMADO,THE LEGEND OF THE GUARDIANS: THE OWLS OF GA'HOOLE,883929139569-0-00000-0
PS3,Simulacion,25/09/2010,EYEPET,711719821427-0-00000-0
PS3,Vehiculos,25/09/2010,KUNG FU RIDER,711719827023-0-00000-0
PS3,Deportes,NO CONFIRMADO,SPORTS CHAMPIONS,711719817727-0-00000-0
WII,Musical,NO CONFIRMADO,NEW CARNIVAL GAMES,710425348433-0-00000-0
WII,Aventura,25/09/2010,GORMITI THE LORDS OF NATURE,083717401179-0-00000-0
NDS,Aventura,25/09/2010,GORMITI THE LORDS OF NATURE,083717241775-0-00000-0
PS3,Musical,28/09/2010,GUITAR HERO WARRIORS OF ROCK SUPERBUNDLE,047875961449-0-00000-0
360,Musical,28/09/2010,GUITAR HERO WARRIORS OF ROCK SUPERBUNDLE,047875961524-0-00000-0
PS3,Deportes,NO CONFIRMADO,RACQUET SPORTS,008888346289-0-00000-0
WII,Aventura,NO CONFIRMADO,DISNEYS GUILTY PARTY,712725017521-0-00000-0
NDS,Musical,17/09/2010,CAMP ROCK THE FINAL JAM,712725018276-0-00000-0
WII,Accion,NO CONFIRMADO,SAMURAI WARRIORS 3,045496901936-0-00000-0
PS3,Disparos,09/11/2010,CALL OF DUTY BLACK OPS PRESTIGE EDITION,047875840249-0-00000-0
360,Disparos,09/11/2010,CALL OF DUTY BLACK OPS PRESTIGE EDITION,047875840232-0-00000-0
PS3,Disparos,09/11/2010,CALL OF DUTY BLACK OPS HARDENED EDITION,047875840225-0-00000-0
360,Disparos,09/11/2010,CALL OF DUTY BLACK OPS HARDENED EDITION,047875840218-0-00000-0
NDS,Accion,10/09/2010,BATMAN THE BRAVE AND THE BOLD,883929123612-0-00000-0
WII,Aventura,NO CONFIRMADO,BATMAN THE BRAVE AND THE BOLD,883929124428-0-00000-0
NDS,Rol/Estrategia/Destreza,11/09/2010,PROFESSOR LAYTON &amp; THE UNWOUND FUTURE,045496741075-0-00000-0
360,Accion,07/09/2010,SAINTS ROW DOUBLE PACK,752919552551-0-00000-0
PSP,Rol/Estrategia/Destreza,10/09/2010,KINGDOM HEARTS BIRTH BY SLEEP,662248910086-0-00000-0
PSP,Rol/Estrategia/Destreza,04/09/2010,VALKYRIA CHRONICLES 2,010086660319-0-00000-0
PSP,Vehiculos,04/09/2010,ACE COMBAT JOINT ASSAULT,722674150361-0-00000-0
PS3,Vehiculos,07/09/2010,TOM CLANCYS HAWX 2,008888346265-0-00000-0
PS3,Disparos,28/09/2010,DEAD RISING 2 ZOMBREX EDITION,013388340361-0-00000-0
360,Disparos,28/09/2010,DEAD RISING 2 ZOMBREX EDITION,013388330355-0-00000-0
WII,Accion,07/09/2010,SPIDER-MAN SHATTERED DIMENSIONS,047875839687-0-00000-0
PS3,Accion,NO CONFIRMADO,SPIDER-MAN SHATTERED DIMENSIONS,047875839663-0-00000-0
NDS,Accion,07/09/2010,SPIDER-MAN SHATTERED DIMENSIONS,047875839694-0-00000-0
360,Accion,07/09/2010,SPIDER-MAN SHATTERED DIMENSIONS,047875839670-0-00000-0
PS3,Vehiculos,NO CONFIRMADO,F1 2010,767649403332-0-00000-0
360,Vehiculos,NO CONFIRMADO,F1 2010,767649403349-0-00000-0
WII,Accion,31/08/2010,METROID OTHER M,045496901912-0-00000-0
PS3,Accion,NO CONFIRMADO,MAFIA II,710425374074-0-00000-0
360,Accion,NO CONFIRMADO,MAFIA II,710425394065-0-00000-0
360,Rol/Estrategia/Destreza,26/10/2010,FABLE 3 COLLECTOR'S EDITION,885370164206-0-00000-0
PS3,Disparos,20/08/2010,KANE &amp; LYNCH 2 DOG DAYS,662248910109-0-00000-0
360,Disparos,20/08/2010,KANE &amp; LYNCH 2 DOG DAYS,662248910093-0-00000-0
NDS,Rol/Estrategia/Destreza,19/08/2010,THE WORLD ENDS WITH YOU,662248908014-0-00000-0
NDS,Accion,10/08/2010,STAR WARS CLONE WARS JEDI ALLIANCE,023272334611-0-00000-0
WII,Deportes,NO CONFIRMADO,GOLD GYM DANCE WORKOUT,008888175902-0-00000-0
