consola,genero,lanzamiento,titulo,upc
PS3,Rol/Estrategia/Destreza,20/10/2015,TALES OF ZESTIRIA,722674111478-1-00001-1
XONE,Aventura,20/10/2015,ADVENTURE TIME FINN AND JAKE INVESTIGATIONS,815403010729-1-00000-0
PS4,Aventura,20/10/2015,ADVENTURE TIME FINN AND JAKE INVESTIGATIONS,815403010705-1-00000-0
360,Aventura,20/10/2015,ADVENTURE TIME FINN AND JAKE INVESTIGATIONS,815403010712-1-00000-1
WIIU,Aventura,20/10/2015,ADVENTURE TIME FINN AND JAKE INVESTIGATIONS,815403010682-1-00000-1
3DS,Aventura,20/10/2015,ADVENTURE TIME FINN AND JAKE INVESTIGATIONS,815403010675-1-00000-0
PS4,Rol/Estrategia/Destreza,13/10/2015,DRAGON QUEST HEROES DAY ONE EDITION,662248916514-1-00000-0
360,Aventura,13/10/2015,BACK TO THE FUTURE 30TH ANNIVERSARY,894515001542-1-00000-0
XONE,Aventura,13/10/2015,BACK TO THE FUTURE 30TH ANNIVERSARY,894515001559-0-00000-0
PS4,Aventura,13/10/2015,BACK TO THE FUTURE 30TH ANNIVERSARY,894515001566-1-00000-0
XONE,Accion,23/10/2015,ASSASSINS CREED SYNDICATE GOLD EDITION,887256014353-0-00000-0
PS4,Accion,23/10/2015,ASSASSINS CREED SYNDICATE GOLD EDITION,887256014346-1-00000-0
XONE,Accion,23/10/2015,ASSASSINS CREED SYNDICATE,887256015077-0-00000-0
PS4,Accion,23/10/2015,ASSASSINS CREED SYNDICATE,887256015060-1-00000-0
PS4,Musical,23/10/2015,ROCK BAND 4 BAND IN A BOX,728658046453-1-00001-0
XONE,Musical,23/10/2015,ROCK BAND 4 BAND IN A BOX,728658046422-1-00000-0
XONE,Musical,23/10/2015,ROCK BAND 4 GUITAR BUNDLE,728658046484-0-00000-0
PS4,Musical,23/10/2015,ROCK BAND 4 GUITAR BUNDLE,728658046514-1-00000-0
XONE,Disparos,27/10/2015,HALO 5 GUARDIANS,885370928532-1-00011-11
XONE,Disparos,27/10/2015,HALO 5 GUARDIANS LIMITED EDITION,885370928570-1-00001-1
3DS,Aventura,23/10/2015,THE LEGEND OF ZELDA TRI FORCE HEROES,045496743345-1-00000-1
360,Peleas,27/10/2015,WWE 2K16,710425496790-1-00000-1
PS4,Peleas,27/10/2015,WWE 2K16,710425476785-1-00000-1
XONE,Peleas,27/10/2015,WWE 2K16,710425496813-1-00000-1
PS3,Peleas,27/10/2015,WWE 2K16,710425476808-1-00000-1
360,Accion,28/10/2014,ASSASSINS CREED THE AMERICAS COLLECTION,887256000622-1-00001-0
XONE,Vehiculos,14/07/2015,FORZA MOTORSPORT 5 GAME OF THE YEAR EDITION,885370801651-0-00000-0
360,Disparos,04/11/2014,CALL OF DUTY ADVANCED WARFARE,048775873612-1-00000-1
360,Disparos,23/06/2015,CALL OF DUTY BLACK OPS DUAL PACK,047875874374-1-00008-0
WII,Simulacion,07/04/2015,RAPALA PRO BASS FISHING WITH FISHING ROD,047875766860-1-00000-0
3DS,Rol/Estrategia/Destreza,07/02/2014,BRAVELY DEFAULT COLLECTORS EDITION,045496742744-0-00000-0
360,Aventura,21/10/2012,SKYLANDERS GIANTS EXPANSION PACK,047875844797-0-00000-0
PSP,Rol/Estrategia/Destreza,01/01/2006,THRILLVILLE OFF THE RAILS,023272406394-0-00000-0
XONE,Disparos,20/10/2015,FAR CRY 4 COMPLETE EDITION,887256015879-1-00000-1
PS4,Disparos,20/10/2015,FAR CRY 4 COMPLETE EDITION,887256015855-1-00001-0
PS4,Aventura,30/10/2015,MINECRAFT STORY MODE,894515001689-1-00000-1
PS3,Aventura,30/10/2015,MINECRAFT STORY MODE,894515001672-1-00000-0
XONE,Aventura,30/10/2015,MINECRAFT STORY MODE,894515001665-1-00000-1
360,Aventura,30/10/2015,MINECRAFT STORY MODE,894515001658-1-00000-1
3DS,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS STARTER KIT,047875875708-1-00000-0
PS3,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS STARTER KIT,047875876330-1-00000-0
PS4,Aventura,03/10/2015,SKYLANDERS SUPERCHARGERS STARTER KIT,047875876194-1-00000-0
XONE,Vehiculos,03/11/2015,NEED FOR SPEED,014633733853-1-00003-0
PS4,Vehiculos,03/11/2015,NEED FOR SPEED,014633368611-1-00000-2
WIIU,Aventura,03/11/2015,SHOVEL KNIGHT,812303010439-1-00000-0
PS4,Aventura,03/11/2015,SHOVEL KNIGHT,812303010316-0-00000-0
3DS,Aventura,03/11/2015,SHOVEL KNIGHT,812303010415-0-00000-0
PS4,Disparos,03/11/2015,CALL OF DUTY BLACK OPS III,047875874602-1-00000-1
XONE,Disparos,06/11/2015,CALL OF DUTY BLACK OPS III,047875874688-1-00000-0
PS3,Disparos,06/11/2015,CALL OF DUTY BLACK OPS III,047875874565-1-00000-1
360,Disparos,06/11/2015,CALL OF DUTY BLACK OPS III,047875874640-1-00000-1
3DS,Rol/Estrategia/Destreza,06/11/2015,YO KAI WATCH,045496473369-1-00001-0
360,Accion,10/11/2015,RISE OF THE TOMB RAIDER,885370982275-1-00000-0
PS4,Rol/Estrategia/Destreza,10/11/2015,FALLOUT 4,093155170568-1-00003-4
